Date,Open,High,Low,Close,Volume,pe_ratio,pb_ratio,dividend_yield
2018-10-23,10152.6,10222.1,10102.35,10146.8,312042090,24.41,3.22,1.32
2018-10-24,10278.15,10290.65,10126.7,10224.75,362272428,24.6,3.25,1.31
2018-10-25,10135.05,10166.6,10079.3,10124.9,522421914,24.36,3.22,1.33
2018-10-26,10122.35,10128.85,10004.55,10030.0,375563273,24.12,3.19,1.34
2018-10-29,10078.1,10275.3,10020.35,10250.85,375749433,24.65,3.26,1.31
2018-10-30,10239.4,10285.1,10175.35,10198.4,298753965,24.55,3.24,1.32
2018-10-31,10209.55,10396.0,10105.1,10386.6,386618948,25.0,3.29,1.27
2018-11-01,10441.7,10441.9,10341.9,10380.45,359340403,24.98,3.29,1.27
2018-11-02,10462.3,10606.95,10457.7,10553.0,434175607,25.4,3.35,1.25
2018-11-05,10558.75,10558.8,10477.0,10524.0,311176379,25.33,3.34,1.26
2018-11-06,10552.0,10600.25,10491.45,10530.0,309878810,25.32,3.34,1.26
2018-11-07,10614.45,10616.45,10582.3,10598.4,32194181,25.49,3.36,1.25
2018-11-09,10614.7,10619.55,10544.85,10585.2,305817331,25.46,3.35,1.25
2018-11-12,10607.8,10645.5,10464.05,10482.2,267710127,25.21,3.32,1.26
2018-11-13,10451.9,10596.25,10440.55,10582.5,262541595,25.45,3.35,1.25
2018-11-14,10634.9,10651.6,10532.7,10576.3,396373781,25.43,3.35,1.25
2018-11-15,10580.6,10646.5,10557.5,10616.7,306011926,25.53,3.36,1.25
2018-11-16,10644.0,10695.15,10631.15,10682.2,353384918,25.69,3.38,1.24
2018-11-19,10731.25,10774.7,10688.8,10763.4,280522364,25.88,3.41,1.23
2018-11-20,10740.1,10740.85,10640.85,10656.2,304322623,25.62,3.37,1.25
2018-11-21,10670.95,10671.3,10562.35,10600.05,310191008,25.55,3.35,1.25
2018-11-22,10612.65,10646.25,10512.0,10526.75,246926671,25.43,3.33,1.26
2018-11-26,10568.3,10637.8,10489.75,10628.6,332863041,25.71,3.36,1.25
